epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,8267.75,0.53608,0.2742,0.84602,0.99931,0.99887,0.99499,0.95129,0.36113,0.183,0.81119,0.005842,0.005842,0.005842
44,8451.59,0.53267,0.27329,0.84496,0.99914,0.99905,0.99499,0.95174,0.35911,0.182,0.81035,0.005743,0.005743,0.005743
45,8635.36,0.5299,0.27202,0.84326,0.99953,0.99897,0.99499,0.95258,0.35781,0.1811,0.80986,0.005644,0.005644,0.005644
46,8817.95,0.52512,0.26951,0.84246,0.99941,0.99898,0.99499,0.9541,0.35428,0.17988,0.80902,0.005545,0.005545,0.005545
47,9020.11,0.5242,0.26921,0.84199,0.99962,0.9987,0.99499,0.95435,0.35264,0.17982,0.80851,0.005446,0.005446,0.005446
48,9202.95,0.52055,0.26735,0.84055,0.99959,0.9988,0.99499,0.95476,0.34983,0.1792,0.80776,0.005347,0.005347,0.005347
49,9382.9,0.51895,0.26771,0.84071,0.99905,0.99945,0.99499,0.95382,0.34898,0.17942,0.80743,0.005248,0.005248,0.005248
50,9572.99,0.5148,0.26481,0.83932,0.99901,0.99941,0.99499,0.95461,0.34786,0.17883,0.80704,0.005149,0.005149,0.005149
51,9753.58,0.5114,0.26264,0.83784,0.99926,0.99917,0.99499,0.95492,0.34722,0.17774,0.80662,0.00505,0.00505,0.00505
52,9942.15,0.50986,0.26275,0.83787,0.99936,0.99923,0.99499,0.95589,0.34623,0.17663,0.80608,0.004951,0.004951,0.004951
53,10122.6,0.50612,0.26127,0.83625,0.9992,0.99947,0.99499,0.95648,0.34385,0.17563,0.80546,0.004852,0.004852,0.004852
54,10301.8,0.50629,0.26038,0.83574,0.99959,0.99939,0.99499,0.95739,0.34117,0.17449,0.80499,0.004753,0.004753,0.004753
55,10484.4,0.50226,0.25871,0.83562,0.99953,0.99936,0.99499,0.95772,0.33961,0.17398,0.80465,0.004654,0.004654,0.004654
56,10665.1,0.49936,0.25774,0.83601,0.99947,0.9995,0.99499,0.95826,0.33894,0.17341,0.80446,0.004555,0.004555,0.004555
