epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
43,79148.2,0.59593,0.42409,0.09319,0.99394,0.99876,0.99453,0.86782,0.14809,0.28098,0.03592,0.005842,0.005842,0.005842
44,80808.3,0.55301,0.41515,0.08444,0.99368,0.99882,0.99435,0.85716,0.16187,0.28637,0.03723,0.005743,0.005743,0.005743
45,82649.2,0.60128,0.42472,0.09241,0.99592,0.99882,0.99471,0.79299,0.22906,0.32073,0.04371,0.005644,0.005644,0.005644
46,84316.8,0.5517,0.41577,0.08457,0.99584,0.99858,0.99476,0.79612,0.22518,0.31803,0.04402,0.005545,0.005545,0.005545
47,86009.9,0.5833,0.41881,0.08897,0.99457,0.99868,0.99449,0.73263,0.28679,0.34235,0.0494,0.005446,0.005446,0.005446
48,87758.3,0.53251,0.41028,0.08083,0.99564,0.99882,0.99463,0.78084,0.23986,0.32431,0.04451,0.005347,0.005347,0.005347
49,89729.2,0.53535,0.41796,0.08366,0.99649,0.99882,0.99468,0.78462,0.23622,0.32207,0.04395,0.005248,0.005248,0.005248
50,91596.5,0.56946,0.41657,0.08597,0.99582,0.99893,0.99461,0.80127,0.21859,0.31439,0.04186,0.005149,0.005149,0.005149
51,93581.9,0.54177,0.41677,0.08557,0.99482,0.99893,0.99459,0.78103,0.23797,0.32115,0.04413,0.00505,0.00505,0.00505
52,95633.5,0.5235,0.41167,0.07865,0.9966,0.99893,0.99472,0.80489,0.21712,0.30856,0.04199,0.004951,0.004951,0.004951
53,97447.1,0.53604,0.41662,0.08047,0.99687,0.99894,0.99468,0.84993,0.17116,0.28593,0.03703,0.004852,0.004852,0.004852
54,99427.9,0.51016,0.40648,0.07603,0.99649,0.99876,0.99456,0.85991,0.16169,0.27968,0.03581,0.004753,0.004753,0.004753
55,101452,0.56259,0.41002,0.08479,0.99646,0.99882,0.99474,0.86913,0.15293,0.27574,0.03488,0.004654,0.004654,0.004654
56,103359,0.53749,0.41181,0.08051,0.99665,0.99893,0.99483,0.87754,0.14113,0.27016,0.03341,0.004555,0.004555,0.004555
57,105216,0.60604,0.41649,0.09063,0.99595,0.99917,0.99466,0.86758,0.14983,0.27548,0.03425,0.004456,0.004456,0.004456
58,106983,0.57913,0.41355,0.08754,0.99639,0.99893,0.99466,0.85329,0.16446,0.28734,0.03566,0.004357,0.004357,0.004357
59,108682,0.63151,0.41337,0.09888,0.99656,0.99905,0.99467,0.83992,0.17979,0.29676,0.03675,0.004258,0.004258,0.004258
60,145042,0.82935,0.40026,0.14101,0.99681,0.99917,0.99472,0.83516,0.18546,0.30157,0.03689,0.004159,0.004159,0.004159
61,146674,0.56675,0.40097,0.08194,0.99657,0.99907,0.99472,0.80043,0.2229,0.31818,0.04179,0.00406,0.00406,0.00406
62,148507,0.55097,0.40382,0.08008,0.99731,0.99929,0.99466,0.81529,0.20695,0.31003,0.03931,0.003961,0.003961,0.003961
63,150381,0.54423,0.40748,0.07969,0.99705,0.99912,0.99478,0.8331,0.18919,0.30128,0.03668,0.003862,0.003862,0.003862
64,152498,0.64656,0.4177,0.09903,0.99733,0.99929,0.99479,0.85347,0.16692,0.29006,0.03397,0.003763,0.003763,0.003763
65,154171,0.50044,0.39182,0.07993,0.99707,0.99864,0.99468,0.84288,0.17816,0.29511,0.03479,0.003664,0.003664,0.003664
66,155836,0.41757,0.37738,0.06183,0.99722,0.99912,0.99474,0.83079,0.19127,0.30075,0.03614,0.003565,0.003565,0.003565
67,157696,0.40531,0.37539,0.05999,0.99675,0.99899,0.99475,0.81435,0.20723,0.3078,0.03784,0.003466,0.003466,0.003466
68,159538,0.45118,0.38857,0.06682,0.99664,0.99899,0.99463,0.79184,0.23107,0.31841,0.04066,0.003367,0.003367,0.003367
69,161282,0.58388,0.40701,0.09159,0.99658,0.99899,0.99462,0.79393,0.22942,0.3174,0.04038,0.003268,0.003268,0.003268
70,163416,0.47195,0.38687,0.06976,0.9971,0.99909,0.99481,0.77998,0.24437,0.32333,0.04212,0.003169,0.003169,0.003169
71,165573,0.42907,0.38113,0.06136,0.99684,0.99911,0.99479,0.76748,0.25622,0.32778,0.04349,0.00307,0.00307,0.00307
